id	published	title	summary
guid_107420206	2024-05-25 15:26:00	U.S. screens record 2.95 million airline passengers in single day	The U.S. Transportation Security Administration (TSA) said it screened 2.95 million airline passengers on Friday, the highest number ever on a single day.
guid_107420205	2024-05-25 13:29:00	Prosecutors ask judge in classified documents case to block Trump from statements endangering law enforcement	The request comes after the former president falsely claimed the Biden administration authorized the FBI to use deadly force against him during the 2022 search of Mar-a-Lago.
guid_107419874	2024-05-25 11:52:00	This power management stock could win big from AI-fueled energy demands	The growing need to feed power-hungry artificial intelligence models could benefit this under-the-radar power management stock, according to Wall Street.
guid_107420224	2024-05-26 10:29:00	Lithuanians vote in presidential election overshadowed by Russia	Lithuania holds presidential elections on Sunday, with incumbent Gitanas Nauseda expected to win after a campaign dominated by security concerns.
guid_107419782	2024-05-24 14:30:00	Google's AI Overview is catching heat for obvious errors, like falsely stating Obama is Muslim	Public criticism has mounted over Google's AI Overview feature in Search, which has returned inaccurate or nonsensical results, according to screenshots.
guid_107417982	2024-05-25 13:21:00	Here's what it's like inside the operating room when someone gets a brain implant	Precision Neuroscience is testing its brain implant at the Mount Sinai Health System in New York City. CNBC observed one procedure from the operating room.
guid_107419972	2024-05-25 14:00:00	What we expect from Costco earnings and 3 others, and the Fed's favorite inflation gauge	There was a good deal of divergence this week.
guid_107420204	2024-05-25 12:30:00	GameStop surges after fetching $933 million from stock sale	GameStop made nearly $933.4 million by selling 45 million shares, the struggling videogame retailer said on Friday, sending its shares up.
guid_107418768	2024-05-24 21:41:00	Truth Social struggles to grow its U.S. user base, new data on Trump Media app shows	Trump Media, which trades under DJT on the Nasdaq, relies on ad sales and acknowledges that a decline in user engagement could hurt its business.
guid_107420146	2024-05-24 22:11:00	Families of Uvalde school shooting victims sue Meta, Microsoft, gunmaker	The Uvalde suit argues that Daniel Defense used Instagram and Activision's Call of Duty to market to teenage boys, while Meta and Microsoft allowed it.
guid_107420197	2024-05-25 07:19:00	Yellen sees no 'showstoppers' on G7 Ukraine loan backed by Russian asset earnings	"U.S. Treasury Secretary Janet Yellen said she does not see ""any showstoppers"" in talks with G7 finance ministers about a larger loan to Ukraine."
guid_107419963	2024-05-24 17:33:00	Here's where BlackRock's bond guru Rick Rieder sees opportunity right now	In this market, investors can grab some great yields and not have to take any big risks to get them, said BlackRock global fixed income CIO Rick Rieder.
guid_107420200	2024-05-25 09:14:00	China ends war games, Taiwan details warplane, warship surge	China ended two days of war games around Taiwan in which it simulated attacks with bombers and practiced boarding ships.
